Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2801 JD;Zeugstraat;60;106;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JE;Jeruzalemstraat;1;11;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 JE;Jeruzalemstraat;2;24;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 JG;Markt;1;11;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JG;Markt;2;10;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JH;Markt;12;20;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JH;Markt;13;19;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JJ;Markt;21;33;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JJ;Markt;22;34;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JK;Markt;35;45;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JK;Markt;36;44;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JL;Markt;46;56;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JL;Markt;47;57;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JM;Markt;58;74;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JM;Markt;59;75;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JN;Korte Groenendaal;2;26;GOUDA                   ;B-3;onbekend;;;;;;;
2801 JP;Korte Groenendaal;1;21;GOUDA                   ;B-3;onbekend;;;;;;;
2801 JR;Stoofsteeg;1;21;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JR;Stoofsteeg;2;22;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JS;Korte Tiendeweg;1;27;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JT;Korte Tiendeweg;2;26;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JV;Koster Gijzensteeg;1;9;GOUDA                   ;A-6;onbekend;;;;;;;
2801 JV;Koster Gijzensteeg;2;10;GOUDA                   ;A-6;onbekend;;;;;;;
2801 JW;Achter de Kerk;1;7;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JW;Achter de Kerk;2;8;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JX;Achter de Kerk;9;17;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JX;Achter de Kerk;10;16;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JZ;Kerksteeg;1;1;GOUDA                   ;A-1;onbekend;;;;;;;
2801 JZ;Kerksteeg;2;2;GOUDA                   ;A-1;onbekend;;;;;;;
2801 KA;Wijdstraat;1;21;GOUDA                   ;B-3;onbekend;;;;;;;
2801 KB;Wijdstraat;23;43;GOUDA                   ;B-3;onbekend;;;;;;;
2801 KC;Wijdstraat;2;26;GOUDA                   ;B-3;onbekend;;;;;;;
2801 KD;Lange Tiendeweg;1;21;GOUDA                   ;A-1;onbekend;;;;;;;
2801 KE;Lange Tiendeweg;23;53;GOUDA                   ;A-1;onbekend;;;;;;;
2801 KG;Lange Tiendeweg;55;111;GOUDA                   ;A-1;onbekend;;;;;;;
2801 KH;Lange Tiendeweg;2;32;GOUDA                   ;A-1;onbekend;;;;;;;
2801 KJ;Lange Tiendeweg;34;66;GOUDA                   ;A-1;onbekend;;;;;;;
2801 KK;Lange Tiendeweg;68;104;GOUDA                   ;A-1;onbekend;;;;;;;
2801 LA;Hoge Gouwe;1;27;GOUDA                   ;A-1;onbekend;;;;;;;
2801 LB;Hoge Gouwe;29;51;GOUDA                   ;A-1;onbekend;;;;;;;
2801 LC;Hoge Gouwe;53;79;GOUDA                   ;A-1;onbekend;;;;;;;
2801 LD;Hoge Gouwe;85;121;GOUDA                   ;A-1;onbekend;;;;;;;
2801 LE;Hoge Gouwe;123;201;GOUDA                   ;A-1;onbekend;;;;;;;
2801 LG;Lage Gouwe;2;50;GOUDA                   ;B-2;onbekend;;;;;;;
2801 LH;Lage Gouwe;52;88;GOUDA                   ;B-2;onbekend;;;;;;;
2801 LJ;Lage Gouwe;90;110;GOUDA                   ;B-2;onbekend;;;;;;;
2801 LK;Lage Gouwe;112;134;GOUDA                   ;B-2;onbekend;;;;;;;
2801 LL;Lage Gouwe;136;178;GOUDA                   ;B-2;onbekend;;;;;;;
2801 LM;Lage Gouwe;180;222;GOUDA                   ;B-2;onbekend;;;;;;;
2801 LN;Lage Gouwe;224;248;GOUDA                   ;B-2;onbekend;;;;;;;
2801 LP;Looierspoort;1;13;GOUDA                   ;B-6;onbekend;;;;;;;
2801 LP;Looierspoort;6;16;GOUDA                   ;B-6;onbekend;;;;;;;
2801 LR;Lange Groenendaal;25;67;GOUDA                   ;B-3;onbekend;;;;;;;
2801 LS;Lombardsteeg;2;12;GOUDA                   ;B-6;onbekend;;;;;;;
2801 LS;Lombardsteeg;9;11;GOUDA                   ;B-6;onbekend;;;;;;;
2801 LS;Lange Groenendaal;69;111;GOUDA                   ;B-3;onbekend;;;;;;;
2801 LT;Lange Groenendaal;32;74;GOUDA                   ;B-3;onbekend;;;;;;;
2801 LV;Lange Groenendaal;76;118;GOUDA                   ;B-3;onbekend;;;;;;;
2801 LW;Vrouwepoort;1;5;GOUDA                   ;B-3;onbekend;;;;;;;
2801 LW;Vrouwepoort;2;4;GOUDA                   ;B-3;onbekend;;;;;;;
2801 LX;Arie Kerssensteegje;6;14;GOUDA                   ;B-6;onbekend;;;;;;;
2801 LX;Arie Kerssensteegje;15;17;GOUDA                   ;B-6;onbekend;;;;;;;
2801 LZ;Hoge Gouwe;2;100;GOUDA                   ;A-1;onbekend;;;;;;;
2801 MA;Lage Gouwe;1;3;GOUDA                   ;B-2;onbekend;;;;;;;
2801 NA;Achter de Vismarkt;1;21;GOUDA                   ;B-3;onbekend;;;;;;;
2801 NB;Vissteeg;1;11;GOUDA                   ;B-6;onbekend;;;;;;;
2801 NB;Vissteeg;2;6;GOUDA                   ;B-6;onbekend;;;;;;;
2801 NB;Achter de Vismarkt;23;41;GOUDA                   ;B-3;onbekend;;;;;;;
2801 NC;Achter de Vismarkt;2;50;GOUDA                   ;B-3;onbekend;;;;;;;
2801 ND;Achter de Vismarkt;52;100;GOUDA                   ;B-3;onbekend;;;;;;;
